	KO.4.MC.6WK	WT.7.MC.6WK	KO.6.MC.6WK	KO.5.MC.6WK	WT.2.MC.6WK	WT.6.MC.6WK	KO.3.MC.6WK	WT.5.MC.6WK	WT.4.MC.6WK	WT.3.MC.6WK	KO.1.MC.6WK	KO.8.MC.6WK	KO.2.MC.6WK	WT.1.MC.6WK
KO.4.MC.6WK	0.0	0.706528739863	0.529449651021	0.284388596065	0.512901063368	0.586022424059	0.616661628045	0.735498626428	0.656186332628	0.673865324202	0.599245521103	0.317038867493	0.714310125002	0.550256969729
WT.7.MC.6WK	0.706528739863	0.0	0.73790402082	0.777428725404	0.808672564045	0.489911802206	0.683118863287	0.607552675508	0.433851654202	0.532867151251	0.690584786866	0.828651796159	0.876943703256	0.781582302607
KO.6.MC.6WK	0.529449651021	0.73790402082	0.0	0.513913169206	0.760853849288	0.610194666071	0.594500453476	0.7591976761	0.737943453515	0.736339857254	0.678912709158	0.626690676796	0.806990102394	0.781582302607
KO.5.MC.6WK	0.284388596065	0.777428725404	0.513913169206	0.0	0.499336216301	0.653307745896	0.663389371574	0.753585089184	0.737706857346	0.763403830229	0.661969794556	0.306116010989	0.734223635957	0.570735682646
WT.2.MC.6WK	0.512901063368	0.808672564045	0.760853849288	0.499336216301	0.0	0.669698602768	0.718831740691	0.691859777337	0.826154392145	0.814258862498	0.731555356932	0.410008017981	0.819148516673	0.281155115078
WT.6.MC.6WK	0.586022424059	0.489911802206	0.610194666071	0.653307745896	0.669698602768	0.0	0.582447193049	0.40284441173	0.506276370615	0.558445826049	0.582381471891	0.69506696986	0.859567029009	0.716741807858
KO.3.MC.6WK	0.616661628045	0.683118863287	0.594500453476	0.663389371574	0.718831740691	0.582447193049	0.0	0.649785091812	0.704806845516	0.728821356748	0.665847342894	0.687548469354	0.865731673655	0.791256457104
WT.5.MC.6WK	0.735498626428	0.607552675508	0.7591976761	0.753585089184	0.691859777337	0.40284441173	0.649785091812	0.0	0.635155561982	0.594723905414	0.67082900669	0.756923724024	0.808449112107	0.767728282443
WT.4.MC.6WK	0.656186332628	0.433851654202	0.737943453515	0.737706857346	0.826154392145	0.506276370615	0.704806845516	0.635155561982	0.0	0.474375320391	0.645066312649	0.78622221638	0.882898040195	0.828914680792
WT.3.MC.6WK	0.673865324202	0.532867151251	0.736339857254	0.763403830229	0.814258862498	0.558445826049	0.728821356748	0.594723905414	0.474375320391	0.0	0.634196033071	0.800707159663	0.740638021004	0.843176172137
KO.1.MC.6WK	0.599245521103	0.690584786866	0.678912709158	0.661969794556	0.731555356932	0.582381471891	0.665847342894	0.67082900669	0.645066312649	0.634196033071	0.0	0.683907517186	0.668016141116	0.855505461428
KO.8.MC.6WK	0.317038867493	0.828651796159	0.626690676796	0.306116010989	0.410008017981	0.69506696986	0.687548469354	0.756923724024	0.78622221638	0.800707159663	0.683907517186	0.0	0.739678492094	0.475900051263
KO.2.MC.6WK	0.714310125002	0.876943703256	0.806990102394	0.734223635957	0.819148516673	0.859567029009	0.865731673655	0.808449112107	0.882898040195	0.740638021004	0.668016141116	0.739678492094	0.0	0.850839259191
WT.1.MC.6WK	0.550256969729	0.781582302607	0.781582302607	0.570735682646	0.281155115078	0.716741807858	0.791256457104	0.767728282443	0.828914680792	0.843176172137	0.855505461428	0.475900051263	0.850839259191	0.0
