	KO.4.MC.6WK	WT.7.MC.6WK	KO.6.MC.6WK	KO.5.MC.6WK	WT.2.MC.6WK	WT.6.MC.6WK	KO.3.MC.6WK	WT.5.MC.6WK	WT.4.MC.6WK	WT.3.MC.6WK	KO.1.MC.6WK	KO.8.MC.6WK	KO.2.MC.6WK	WT.1.MC.6WK
KO.4.MC.6WK	0.0	0.704813354911	0.623461516116	0.558849014048	0.662438460387	0.67377315569	0.746089387355	0.791370740377	0.731644415904	0.693749404506	0.732782720366	0.587305731881	0.732816643463	0.696977172882
WT.7.MC.6WK	0.704813354911	0.0	0.726942259237	0.748447139726	0.723224852368	0.620365283836	0.798887660748	0.745129916499	0.682232945115	0.674653366062	0.737485224298	0.769024434517	0.753338721643	0.716307626655
KO.6.MC.6WK	0.623461516116	0.726942259237	0.0	0.629518925279	0.734770567981	0.678134574304	0.729564202383	0.800507038567	0.736231357722	0.716657186483	0.757911954184	0.684595682874	0.742074062219	0.743604049132
KO.5.MC.6WK	0.558849014048	0.748447139726	0.629518925279	0.0	0.678641825486	0.6955507933	0.743230096588	0.794249079471	0.764701286227	0.732174865633	0.756237503529	0.581783337222	0.730135769787	0.713034698889
WT.2.MC.6WK	0.662438460387	0.723224852368	0.734770567981	0.678641825486	0.0	0.693465664569	0.773148187125	0.786634117265	0.785200179839	0.732659568612	0.744053884388	0.649748964685	0.724025382173	0.548882620796
WT.6.MC.6WK	0.67377315569	0.620365283836	0.678134574304	0.6955507933	0.693465664569	0.0	0.741222977567	0.674808229337	0.674808365081	0.674313506377	0.71522292164	0.729338988448	0.77735801902	0.720657296048
KO.3.MC.6WK	0.746089387355	0.798887660748	0.729564202383	0.743230096588	0.773148187125	0.741222977567	0.0	0.763581074403	0.784454053865	0.780597955677	0.772061150563	0.776326712605	0.827993377154	0.800077148862
WT.5.MC.6WK	0.791370740377	0.745129916499	0.800507038567	0.794249079471	0.786634117265	0.674808229337	0.763581074403	0.0	0.754181630575	0.744539537515	0.762041623491	0.811026838534	0.844668472578	0.806128763858
WT.4.MC.6WK	0.731644415904	0.682232945115	0.736231357722	0.764701286227	0.785200179839	0.674808365081	0.784454053865	0.754181630575	0.0	0.61897301339	0.730658344	0.798591084	0.783782384721	0.783867708638
WT.3.MC.6WK	0.693749404506	0.674653366062	0.716657186483	0.732174865633	0.732659568612	0.674313506377	0.780597955677	0.744539537515	0.61897301339	0.0	0.714362887031	0.765623786351	0.745229895794	0.742960781637
KO.1.MC.6WK	0.732782720366	0.737485224298	0.757911954184	0.756237503529	0.744053884388	0.71522292164	0.772061150563	0.762041623491	0.730658344	0.714362887031	0.0	0.781303511385	0.75062114308	0.779671104382
KO.8.MC.6WK	0.587305731881	0.769024434517	0.684595682874	0.581783337222	0.649748964685	0.729338988448	0.776326712605	0.811026838534	0.798591084	0.765623786351	0.781303511385	0.0	0.742190989253	0.665996423713
KO.2.MC.6WK	0.732816643463	0.753338721643	0.742074062219	0.730135769787	0.724025382173	0.77735801902	0.827993377154	0.844668472578	0.783782384721	0.745229895794	0.75062114308	0.742190989253	0.0	0.699280487671
WT.1.MC.6WK	0.696977172882	0.716307626655	0.743604049132	0.713034698889	0.548882620796	0.720657296048	0.800077148862	0.806128763858	0.783867708638	0.742960781637	0.779671104382	0.665996423713	0.699280487671	0.0
