	KO.4.MC.6WK	WT.7.MC.6WK	KO.6.MC.6WK	KO.5.MC.6WK	WT.2.MC.6WK	WT.6.MC.6WK	KO.3.MC.6WK	WT.5.MC.6WK	WT.4.MC.6WK	WT.3.MC.6WK	KO.1.MC.6WK	KO.8.MC.6WK	KO.2.MC.6WK	WT.1.MC.6WK
KO.4.MC.6WK	0.0	0.290242218583	0.232298544971	0.130854163757	0.228914850711	0.264872469384	0.328968820292	0.389090828031	0.300843046404	0.295308027475	0.289806712558	0.156498329965	0.232839229761	0.242866083414
WT.7.MC.6WK	0.290242218583	0.0	0.260188040966	0.309655308314	0.237601138375	0.165755047277	0.34845214125	0.291440655084	0.240521751267	0.248562605998	0.312884328781	0.283007393656	0.25941872182	0.268192556703
KO.6.MC.6WK	0.232298544971	0.260188040966	0.0	0.254753412907	0.271525725368	0.260994507293	0.276226572918	0.315932515538	0.267814367698	0.256021506606	0.299066686407	0.225458864575	0.230362581462	0.250058700302
KO.5.MC.6WK	0.130854163757	0.309655308314	0.254753412907	0.0	0.247791960588	0.273859743996	0.311721463115	0.378876143266	0.313704885945	0.305225511712	0.293864464195	0.175429696648	0.223121850008	0.257959378854
WT.2.MC.6WK	0.228914850711	0.237601138375	0.271525725368	0.247791960588	0.0	0.23954694535	0.361839398181	0.341354822886	0.302724907498	0.281826501951	0.32074364658	0.265779847958	0.245464580567	0.183832441992
WT.6.MC.6WK	0.264872469384	0.165755047277	0.260994507293	0.273859743996	0.23954694535	0.0	0.304252593678	0.294316134716	0.223086500009	0.204998397324	0.264969893132	0.271093569285	0.246295756783	0.2374511916
KO.3.MC.6WK	0.328968820292	0.34845214125	0.276226572918	0.311721463115	0.361839398181	0.304252593678	0.0	0.308281033301	0.327436648182	0.341087422053	0.301849541598	0.325436076404	0.305014799713	0.337375496313
WT.5.MC.6WK	0.389090828031	0.291440655084	0.315932515538	0.378876143266	0.341354822886	0.294316134716	0.308281033301	0.0	0.321752739814	0.323717624108	0.314886391549	0.36585294837	0.302649081788	0.320553987957
WT.4.MC.6WK	0.300843046404	0.240521751267	0.267814367698	0.313704885945	0.302724907498	0.223086500009	0.327436648182	0.321752739814	0.0	0.183767356483	0.298151428322	0.328383894859	0.276775808959	0.301705660695
WT.3.MC.6WK	0.295308027475	0.248562605998	0.256021506606	0.305225511712	0.281826501951	0.204998397324	0.341087422053	0.323717624108	0.183767356483	0.0	0.291982405007	0.317060306873	0.260057199061	0.273085756086
KO.1.MC.6WK	0.289806712558	0.312884328781	0.299066686407	0.293864464195	0.32074364658	0.264969893132	0.301849541598	0.314886391549	0.298151428322	0.291982405007	0.0	0.313154316045	0.243123711623	0.310235553761
KO.8.MC.6WK	0.156498329965	0.283007393656	0.225458864575	0.175429696648	0.265779847958	0.271093569285	0.325436076404	0.36585294837	0.328383894859	0.317060306873	0.313154316045	0.0	0.231443762145	0.244977844883
KO.2.MC.6WK	0.232839229761	0.25941872182	0.230362581462	0.223121850008	0.245464580567	0.246295756783	0.305014799713	0.302649081788	0.276775808959	0.260057199061	0.243123711623	0.231443762145	0.0	0.234795848579
WT.1.MC.6WK	0.242866083414	0.268192556703	0.250058700302	0.257959378854	0.183832441992	0.2374511916	0.337375496313	0.320553987957	0.301705660695	0.273085756086	0.310235553761	0.244977844883	0.234795848579	0.0
