	KO.4.MC.6WK	WT.7.MC.6WK	KO.6.MC.6WK	KO.5.MC.6WK	WT.2.MC.6WK	WT.6.MC.6WK	KO.3.MC.6WK	WT.5.MC.6WK	WT.4.MC.6WK	WT.3.MC.6WK	KO.1.MC.6WK	KO.8.MC.6WK	KO.2.MC.6WK	WT.1.MC.6WK
KO.4.MC.6WK	0.0	0.418169145231	0.202118219088	0.0998464597326	0.206018591464	0.248425740086	0.281714089828	0.248587696736	0.339968254577	0.258846412676	0.208830181522	0.146098643515	0.328336940812	0.258302151842
WT.7.MC.6WK	0.418169145231	0.0	0.372642607158	0.472001319024	0.529379875393	0.287256426083	0.38474154103	0.362059750522	0.17632463413	0.274078148898	0.372496913997	0.530940457419	0.555740046793	0.542258760893
KO.6.MC.6WK	0.202118219088	0.372642607158	0.0	0.186402716913	0.281288544145	0.191879523784	0.177162621091	0.245798389963	0.293725457354	0.262792958372	0.207427211057	0.240147319365	0.332395811591	0.337414446562
KO.5.MC.6WK	0.0998464597326	0.472001319024	0.186402716913	0.0	0.161352343617	0.291981810355	0.274370137752	0.282096250082	0.392120175475	0.31393210242	0.259769122491	0.107735663061	0.307709453463	0.221656890601
WT.2.MC.6WK	0.206018591464	0.529379875393	0.281288544145	0.161352343617	0.0	0.345765943296	0.34141216078	0.325051418394	0.45832827666	0.382568284678	0.332163780544	0.124695475493	0.335865403857	0.110791094126
WT.6.MC.6WK	0.248425740086	0.287256426083	0.191879523784	0.291981810355	0.345765943296	0.0	0.231934235992	0.164683040261	0.23036154103	0.206152059438	0.204221821791	0.341315600363	0.443409868163	0.411667941613
KO.3.MC.6WK	0.281714089828	0.38474154103	0.177162621091	0.274370137752	0.34141216078	0.231934235992	0.0	0.257050953088	0.33502689967	0.325960176001	0.259295486271	0.321233646604	0.411784194324	0.411353847317
WT.5.MC.6WK	0.248587696736	0.362059750522	0.245798389963	0.282096250082	0.325051418394	0.164683040261	0.257050953088	0.0	0.291302831793	0.208828440568	0.183514716545	0.3172342331	0.380336080916	0.390646266512
WT.4.MC.6WK	0.339968254577	0.17632463413	0.293725457354	0.392120175475	0.45832827666	0.23036154103	0.33502689967	0.291302831793	0.0	0.219324154234	0.295711636325	0.445742439044	0.512743158033	0.498006056205
WT.3.MC.6WK	0.258846412676	0.274078148898	0.262792958372	0.31393210242	0.382568284678	0.206152059438	0.325960176001	0.208828440568	0.219324154234	0.0	0.173590658526	0.364554624666	0.368621764876	0.421762328895
KO.1.MC.6WK	0.208830181522	0.372496913997	0.207427211057	0.259769122491	0.332163780544	0.204221821791	0.259295486271	0.183514716545	0.295711636325	0.173590658526	0.0	0.306214302764	0.323134667385	0.404770551269
KO.8.MC.6WK	0.146098643515	0.530940457419	0.240147319365	0.107735663061	0.124695475493	0.341315600363	0.321233646604	0.3172342331	0.445742439044	0.364554624666	0.306214302764	0.0	0.302889719634	0.177230413255
KO.2.MC.6WK	0.328336940812	0.555740046793	0.332395811591	0.307709453463	0.335865403857	0.443409868163	0.411784194324	0.380336080916	0.512743158033	0.368621764876	0.323134667385	0.302889719634	0.0	0.323070896699
WT.1.MC.6WK	0.258302151842	0.542258760893	0.337414446562	0.221656890601	0.110791094126	0.411667941613	0.411353847317	0.390646266512	0.498006056205	0.421762328895	0.404770551269	0.177230413255	0.323070896699	0.0
